Date	Reading	Topics	Type	Pages
2020-09-02	1.1 - 1.4		Lecture	18
2020-09-08	2.1 - 2.3		Lecture	9
2020-09-09	2.4 - 2.6		Lecture	23
2020-09-15	3.1 - 3.3		Lecture	13
2020-09-16	3.4 - 3.5		Lecture	21
2020-09-22	3.6 - 3.8		Lecture	12
2020-09-23	3.9 - 3.11		Lecture	14
2020-09-29	4.1.1 - 4.1.2		Lecture	10
2020-09-30	4.1.3 - 4.1.4		Lecture	8
2020-10-06	Midterm 1		Lecture	
2020-10-07	4.2 - 4.4		Lecture	19
2020-10-13	5.1 - 5.2, 5.3.1 - 5.3.2		Lecture	12
2020-10-14	5.3.4 - 5.3.7, 5.4 - 5.5		Lecture	24
2020-10-20	6.1 - 6.2		Lecture	9
2020-10-21	6.3 - 6.5		Lecture	18
2020-10-27	6.6		Lecture	8
2020-10-28	6.7 - 6.9		Lecture	13
2020-11-03	7.1 - 7.7		Lecture	14
2020-11-04	7.8, 8.1 - 8.2		Lecture	19
2020-11-10	8.3 - 8.4		Lecture	16
2020-11-11	8.6 - 8.7		Lecture	21
2020-11-17	Midterm 2		Lecture	
2020-11-18	11.1 - 11.3		Lecture	22
2020-11-24	11.4.1 - 11.4.2		Lecture	17
2020-11-25	11.4.3 - 11.4.4		Lecture	17
2020-12-01	Thanksgiving Break	Thanksgiving Break	Lecture	
2020-12-02	11.5 - 11.6		Lecture	18
2020-12-08	14.1 - 14.2		Lecture	12
2020-12-09	14.3 - 14.5		Lecture	19
